,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
0,Assistente virtual,eletronicos,219.08,9.2497899853,16/01/2021,Pedro Gomes,SP,4,cartao_credito,8,-22.19,-48.79
1,Mesa de jantar,moveis,256.35,11.2343053621,18/05/2022,Beatriz Moraes,RJ,1,cartao_credito,4,-22.25,-42.66
2,Jogo de tabuleiro,brinquedos,279.51,21.2626809863,15/03/2021,João Souza,DF,1,cartao_credito,1,-15.83,-47.86
3,Micro-ondas,eletrodomesticos,1009.99,54.6673442173,03/05/2022,João Souza,RS,4,boleto,1,-30.17,-53.5
4,Cadeira de escritório,moveis,446.99,26.9646890964,07/11/2020,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
5,Blocos de montar,brinquedos,32.26,0.0,03/12/2020,Beatriz Moraes,RS,5,cupom,1,-30.17,-53.5
6,Boneca bebê,brinquedos,58.9,0.0,07/08/2021,João Souza,SP,3,boleto,1,-22.19,-48.79
7,Lava louças,eletrodomesticos,1586.23,84.9930800049,18/06/2021,Felipe Santos,CE,5,cartao_credito,10,-5.2,-39.53
8,Lavadora de roupas,eletrodomesticos,2024.31,105.3728566247,08/01/2022,Thiago Silva,SP,1,cartao_credito,5,-22.19,-48.79
9,Carrinho controle remoto,brinquedos,100.26,6.737658724,24/02/2020,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
10,Geladeira,eletrodomesticos,3241.75,170.1978740737,03/04/2020,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
11,Lava louças,eletrodomesticos,1889.5,100.8989674334,05/07/2021,Rafael Costa,DF,5,cartao_credito,1,-15.83,-47.86
12,Fone de ouvido,eletronicos,122.42,7.0496012363,20/02/2020,Rafael Costa,RJ,1,cartao_credito,5,-22.25,-42.66
13,Panela de pressão,utilidades domesticas,88.91,2.3186290892,10/09/2020,Thiago Silva,ES,4,cartao_credito,2,-19.19,-40.34
14,Bicicleta,esporte e lazer,817.71,41.1250365646,04/09/2020,João Souza,SP,2,cartao_credito,8,-22.19,-48.79
15,Ciência de dados com python,livros,75.92,1.6269506684,16/12/2020,Thiago Silva,RS,5,cartao_credito,5,-30.17,-53.5
16,Bola de vôlei,esporte e lazer,78.53,1.7659253164,03/05/2022,Pedro Gomes,RJ,2,boleto,1,-22.25,-42.66
17,Xadrez de madeira,brinquedos,39.44,2.3831872573,22/07/2021,Thiago Silva,CE,5,cartao_credito,2,-5.2,-39.53
18,TV Led UHD 4K,eletronicos,2522.26,143.8837005579,09/01/2022,Beatriz Moraes,SP,3,cartao_credito,5,-22.19,-48.79
19,Jogo de tabuleiro,brinquedos,185.17,13.0235617567,10/01/2020,Thiago Silva,MG,4,cartao_credito,4,-18.1,-44.38
20,Micro-ondas,eletrodomesticos,580.92,31.2153682668,11/03/2021,Thiago Silva,RS,5,cupom,1,-30.17,-53.5
21,Copo térmico,esporte e lazer,67.73,4.1375232659,11/07/2022,Camila Ribeiro,SP,5,cartao_credito,2,-22.19,-48.79
22,Bicicleta,esporte e lazer,685.95,36.8078997942,21/04/2022,Larissa Alves,RJ,3,cartao_credito,10,-22.25,-42.66
23,Kit banquetas,moveis,391.33,18.4215842878,06/03/2023,Camila Ribeiro,SP,4,cartao_credito,3,-22.19,-48.79
24,Dashboards com Power BI,livros,44.69,0.0,14/02/2023,Pedro Gomes,MG,5,cartao_credito,2,-18.1,-44.38
25,Faqueiro,utilidades domesticas,63.85,4.3396682456,20/03/2021,João Souza,SP,5,boleto,1,-22.19,-48.79
